"indicateur","inspections","sexe","Unit","Date","Value"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.Général","Total","Nombre","2022","7802"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.Général","Masculin","Nombre","2022","638"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.Général","Féminin","Nombre","2022","7164"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Grand Lomé","Total","Nombre","2022","1710"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Grand Lomé","Masculin","Nombre","2022","70"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Grand Lomé","Féminin","Nombre","2022","1640"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Est","Total","Nombre","2022","335"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Est","Masculin","Nombre","2022","34"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Est","Féminin","Nombre","2022","301"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Ouest","Total","Nombre","2022","311"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Ouest","Masculin","Nombre","2022","7"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agoenyive Ouest","Féminin","Nombre","2022","304"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Aéroport","Total","Nombre","2022","203"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Aéroport","Masculin","Nombre","2022","1"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Aéroport","Féminin","Nombre","2022","202"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Centre","Total","Nombre","2022","216"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Centre","Masculin","Nombre","2022","8"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Centre","Féminin","Nombre","2022","208"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Est","Total","Nombre","2022","190"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Est","Masculin","Nombre","2022","2"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Est","Féminin","Nombre","2022","188"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Ouest","Total","Nombre","2022","235"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Ouest","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Ouest","Féminin","Nombre","2022","231"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Sud","Total","Nombre","2022","220"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Sud","Masculin","Nombre","2022","14"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lomé Sud","Féminin","Nombre","2022","206"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Maritime","Total","Nombre","2022","992"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Maritime","Masculin","Nombre","2022","85"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Maritime","Féminin","Nombre","2022","907"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ave","Total","Nombre","2022","101"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ave","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ave","Féminin","Nombre","2022","95"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bas mono","Total","Nombre","2022","51"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bas mono","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bas mono","Féminin","Nombre","2022","45"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Est","Total","Nombre","2022","51"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Est","Masculin","Nombre","2022","5"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Est","Féminin","Nombre","2022","46"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Ouest","Total","Nombre","2022","111"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Ouest","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Lacs Ouest","Féminin","Nombre","2022","107"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Vo Nord","Total","Nombre","2022","88"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Vo Nord","Masculin","Nombre","2022","19"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Vo Nord","Féminin","Nombre","2022","69"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Vo Sud","Total","Nombre","2022","82"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Vo Sud","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Vo Sud","Féminin","Nombre","2022","78"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Est","Total","Nombre","2022","70"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Est","Masculin","Nombre","2022","7"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Est","Féminin","Nombre","2022","63"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Ouest","Total","Nombre","2022","42"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Ouest","Masculin","Nombre","2022","7"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Ouest","Féminin","Nombre","2022","35"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Centre","Total","Nombre","2022","124"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Centre","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Centre","Féminin","Nombre","2022","115"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Nord","Total","Nombre","2022","89"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Nord","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Nord","Féminin","Nombre","2022","80"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Sud","Total","Nombre","2022","183"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Sud","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Sud","Féminin","Nombre","2022","174"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Est","Total","Nombre","2022","791"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Est","Masculin","Nombre","2022","60"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Est","Féminin","Nombre","2022","731"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Nord","Total","Nombre","2022","52"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Nord","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Nord","Féminin","Nombre","2022","48"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Sud","Total","Nombre","2022","81"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Sud","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Sud","Féminin","Nombre","2022","75"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Anie","Total","Nombre","2022","82"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Anie","Masculin","Nombre","2022","11"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Anie","Féminin","Nombre","2022","71"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Est mono","Total","Nombre","2022","128"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Est mono","Masculin","Nombre","2022","15"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Est mono","Féminin","Nombre","2022","113"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Est","Total","Nombre","2022","46"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Est","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Est","Féminin","Nombre","2022","42"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Nord","Total","Nombre","2022","45"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Nord","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Nord","Féminin","Nombre","2022","41"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Sud","Total","Nombre","2022","151"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Sud","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Sud","Féminin","Nombre","2022","145"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Moyen mono","Total","Nombre","2022","59"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Moyen mono","Masculin","Nombre","2022","2"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Moyen mono","Féminin","Nombre","2022","57"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ogou Nord","Total","Nombre","2022","109"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ogou Nord","Masculin","Nombre","2022","2"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ogou Nord","Féminin","Nombre","2022","107"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ogou Sud","Total","Nombre","2022","38"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ogou Sud","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Ogou Sud","Féminin","Nombre","2022","32"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Ouest","Total","Nombre","2022","809"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Ouest","Masculin","Nombre","2022","67"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Ouest","Féminin","Nombre","2022","742"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agou","Total","Nombre","2022","97"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agou","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Agou","Féminin","Nombre","2022","93"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Akebou","Total","Nombre","2022","122"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Akebou","Masculin","Nombre","2022","23"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Akebou","Féminin","Nombre","2022","99"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Danyi","Total","Nombre","2022","70"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Danyi","Masculin","Nombre","2022","8"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Danyi","Féminin","Nombre","2022","62"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kloto Est","Total","Nombre","2022","151"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kloto Est","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kloto Est","Féminin","Nombre","2022","145"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kloto Ouest","Total","Nombre","2022","122"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kloto Ouest","Masculin","Nombre","2022","2"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kloto Ouest","Féminin","Nombre","2022","120"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kpele","Total","Nombre","2022","121"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kpele","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kpele","Féminin","Nombre","2022","115"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Wawa Est","Total","Nombre","2022","78"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Wawa Est","Masculin","Nombre","2022","10"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Wawa Est","Féminin","Nombre","2022","68"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Wawa Ouest","Total","Nombre","2022","48"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Wawa Ouest","Masculin","Nombre","2022","8"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Wawa Ouest","Féminin","Nombre","2022","40"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Centrale","Total","Nombre","2022","1236"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Centrale","Masculin","Nombre","2022","90"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Centrale","Féminin","Nombre","2022","1146"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Blitta Est","Total","Nombre","2022","169"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Blitta Est","Masculin","Nombre","2022","14"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Blitta Est","Féminin","Nombre","2022","155"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Blitta Ouest","Total","Nombre","2022","117"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Blitta Ouest","Masculin","Nombre","2022","15"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Blitta Ouest","Féminin","Nombre","2022","102"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Mo","Total","Nombre","2022","56"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Mo","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Mo","Féminin","Nombre","2022","47"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Sotouboua Nord","Total","Nombre","2022","173"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Sotouboua Nord","Masculin","Nombre","2022","2"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Sotouboua Nord","Féminin","Nombre","2022","171"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Sotouboua Sud","Total","Nombre","2022","156"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Sotouboua Sud","Masculin","Nombre","2022","8"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Sotouboua Sud","Féminin","Nombre","2022","148"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchamba Est","Total","Nombre","2022","42"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchamba Est","Masculin","Nombre","2022","10"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchamba Est","Féminin","Nombre","2022","32"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchamba Ouest","Total","Nombre","2022","99"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchamba Ouest","Masculin","Nombre","2022","7"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchamba Ouest","Féminin","Nombre","2022","92"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchaoudjo Nord","Total","Nombre","2022","236"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchaoudjo Nord","Masculin","Nombre","2022","15"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchaoudjo Nord","Féminin","Nombre","2022","221"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchaoudjo Sud","Total","Nombre","2022","188"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchaoudjo Sud","Masculin","Nombre","2022","10"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tchaoudjo Sud","Féminin","Nombre","2022","178"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Kara","Total","Nombre","2022","1178"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Kara","Masculin","Nombre","2022","136"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Kara","Féminin","Nombre","2022","1042"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Assoli","Total","Nombre","2022","80"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Assoli","Masculin","Nombre","2022","5"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Assoli","Féminin","Nombre","2022","75"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bassar Nord","Total","Nombre","2022","84"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bassar Nord","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bassar Nord","Féminin","Nombre","2022","78"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bassar Sud","Total","Nombre","2022","102"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bassar Sud","Masculin","Nombre","2022","12"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Bassar Sud","Féminin","Nombre","2022","90"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Binah","Total","Nombre","2022","156"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Binah","Masculin","Nombre","2022","42"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Binah","Féminin","Nombre","2022","114"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Dankpen","Total","Nombre","2022","188"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Dankpen","Masculin","Nombre","2022","23"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Dankpen","Féminin","Nombre","2022","165"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Doufelgou","Total","Nombre","2022","115"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Doufelgou","Masculin","Nombre","2022","18"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Doufelgou","Féminin","Nombre","2022","97"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Keran","Total","Nombre","2022","88"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Keran","Masculin","Nombre","2022","12"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Keran","Féminin","Nombre","2022","76"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Centre","Total","Nombre","2022","195"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Centre","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Centre","Féminin","Nombre","2022","191"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Nord","Total","Nombre","2022","90"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Nord","Masculin","Nombre","2022","5"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Nord","Féminin","Nombre","2022","85"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Sud","Total","Nombre","2022","80"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Sud","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kozah Sud","Féminin","Nombre","2022","71"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R. Savanes","Total","Nombre","2022","1086"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R. Savanes","Masculin","Nombre","2022","130"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R. Savanes","Féminin","Nombre","2022","956"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Cinkasse","Total","Nombre","2022","104"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Cinkasse","Masculin","Nombre","2022","18"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Cinkasse","Féminin","Nombre","2022","86"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kpendjal","Total","Nombre","2022","128"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kpendjal","Masculin","Nombre","2022","25"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Kpendjal","Féminin","Nombre","2022","103"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Oti Nord","Total","Nombre","2022","138"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Oti Nord","Masculin","Nombre","2022","15"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Oti Nord","Féminin","Nombre","2022","123"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Oti Sud","Total","Nombre","2022","55"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Oti Sud","Masculin","Nombre","2022","15"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Oti Sud","Féminin","Nombre","2022","40"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tandjoare","Total","Nombre","2022","206"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tandjoare","Masculin","Nombre","2022","12"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tandjoare","Féminin","Nombre","2022","194"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tone Est","Total","Nombre","2022","184"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tone Est","Masculin","Nombre","2022","17"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tone Est","Féminin","Nombre","2022","167"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tone Ouest","Total","Nombre","2022","271"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tone Ouest","Masculin","Nombre","2022","28"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Tone Ouest","Féminin","Nombre","2022","243"
